job_no,domain,roles,companies,locations,experience,salaries,skills
1,Data & AI,Data Scientist,Apple,Hyderabad,0-8 Yrs,Not Disclosed,"RCA,Statistical analysis,data science,Data modeling,Analytical,market data,Predictive modeling,Service sales"
2,Data & AI,Data Scientist,HCLTech,Hyderabad,5-10 Yrs,8-16 Lacs PA,"Artificial Intelligence,Machine Learning,Python,Intelligence,Machine,Data"
3,Data & AI,Data Scientist - Gen AI + NLP & ML,Tiger Analytics,Hybrid - Chennai,4-9 Yrs,Not Disclosed,"Generative Ai,NLP,Machine Learning,Python,SQL,Data Science,Gen AI,Artificial Intelligence"
4,Data & AI,Data Scientist,Tata Consultancy Services,"Hyderabad, Chennai",5-10 Yrs,Not Disclosed,"Artificial Intelligence,Machine Learning,Python,Natural Language Processing,Ml,Process,Languages,Machine"
5,Data & AI,Data Scientist -Telecom (RAN+ AI ),Airtel,Gurugram,6-11 Yrs,Not Disclosed,"Agentice AI,Radio,Data Science,SON,Python,CrewAI,Ran Optimization,Artificial Intelligence"
6,Data & AI,Data Scientist,Maddisoft Solutions,"Hyderabad, Pune",0-5 Yrs,Not Disclosed,"Power Bi Reports,Regression,Data Visualization,Clustering,Python,Excel,Power Bi,Factoring"
7,Data & AI,GenAI Data Scientist - PAN INDIA,Tata Consultancy Services,"Hyderabad, Bengaluru, Delhi / NCR",4-9 Yrs,Not Disclosed,"Data Science,Azure,Generative Ai,GCP,Machine Learning,AWS,Python,Data"
8,Data & AI,DE-Data Scientist-VG-W4-CDAO0217,EY,Hyderabad,8-13 Yrs,Not Disclosed,"Data Scientist,Tensorflow,Coaching,Data Wrangling,Power Bi,Hadoop,Ai,Big Data"
9,Data & AI,Data Scientist,Capgemini,"Hybrid - Hyderabad, Chennai, Bengaluru",6-9 Yrs,5.5-14 Lacs PA,"Python,Etl Pipelines,Matplotlib,Prompt Engineering,Pandas,data scientist,Retrieval Augmented Generation,Machine Learning"
10,Data & AI,Data Scientist AIML,Tata Consultancy Services,"Mumbai, Hyderabad, Gurugram",5-10 Yrs,Not Disclosed,"Artificial Intelligence,Machine Learning,Predictive Modeling,Advanced Analytics,Statistical Modeling,Python,Predictive Analytics,Ml"
11,Data & AI,Data Scientist 1,FedEx,Hyderabad,2-5 Yrs,Not Disclosed,"python,data analytics,natural language processing,predictive analytics,information retrieval,machine learning,sql,data science"
12,Data & AI,Data Scientist III,Conduent,Bengaluru,8-12 Yrs,Not Disclosed,"data scientist,snowflake,storytelling,python,ai,power bi,dimensional modeling,machine learning"
13,Data & AI,Data Scientist 4,Oracle,Bengaluru,4-8 Yrs,Not Disclosed,"python,natural language processing,data processing,neural networks,predictive analytics,aiml,engineering,machine learning"
14,Data & AI,Data Scientist (Immediate Joiners Only),Straive,"Hybrid - Hyderabad, Gurugram, Bengaluru",3-8 Yrs,Not Disclosed,"Xgboost,Machine Learning,Python,SQL,ML Techniques,ML Model,Random Forest,Ml"
15,Data & AI,Data Scientist-Artificial Intelligence,IBM,Bengaluru,5-7 Yrs,Not Disclosed,"Data Scientist,Enterprise Applications,Data Pipelines,Artificial Intelligence,Ai Solutions,Ai,Analytics,Cloud Technologies"
16,Data & AI,Data Scientist,Ascendion Engineering,"Hybrid - Hyderabad, Pune, Bengaluru",3-8 Yrs,Not Disclosed,"Data Science,Vertex,Gcp Bigquery,Python,Healthcare,Science,GCP,Bigquery"
17,Data & AI,Data Scientist,Capgemini,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",6-8 Yrs,Not Disclosed,"Generative Ai,GCP,Bigquery,Python,Machine Learning,Data,Artificial Intelligence,Machine"
18,Data & AI,Data Scientist-Artificial Intelligence,IBM,Hyderabad,7-9 Yrs,Not Disclosed,"Data Scientist,Tensorflow,Matplotlib,Azure,Github,Artificial Intelligence,Natural Language Processing,Ai"
19,Data & AI,Data Scientist,Wipro,Bengaluru,8-13 Yrs,Not Disclosed,"Gen AI,DeepEval,Langchain,Langgraph,RAGAS,RAG,LLM,LangSmith"
20,Data & AI,Data Scientist,Infosys,Bengaluru,10-14 Yrs,Not Disclosed,"data scientist,snowflake,python,forecasting,ai,databricks,business analysis,logistics"
21,Data & AI,Data Scientist 1,FedEx,Hyderabad,2-5 Yrs,Not Disclosed,"python,data analytics,natural language processing,predictive analytics,information retrieval,machine learning,sql,data science"
22,Data & AI,Data Scientist,TEKsystems,"Hybrid - Pune, Bengaluru, Delhi / NCR",5-10 Yrs,17-30 Lacs PA,"Data Science,MLOps,Decision engine,pharmaceutical data asset,python,Logistic Regression,ML modeling,sql"
23,Data & AI,Data Scientist / Data Science Engineer,Ample Softech System,"Bhubaneswar, Nagpur, Pune",0-5 Yrs,4.25-9.25 Lacs PA,"Power Bi,Data Analysis,Data Visualization,Data Modeling,SQL,Data Science,Modeling,Science"
24,Data & AI,Data Scientist (US Value & Access Insights),Amgen Inc,Hyderabad,1-3 Yrs,Not Disclosed,"python,troubleshooting,machine learning algorithms,ml,statistics,continuous integration,kubernetes,scikit-learn"
25,Data & AI,Data Scientist,Razorthink,Bengaluru,0-2 Yrs,Not Disclosed,"Data Science,LangGraph,Git,Docker,Data Scientist,LangChain,MLflow,Hugging Face"
26,Data & AI,Data Scientist I,Conduent,Bengaluru,1-6 Yrs,Not Disclosed,"data scientist,mlops,python,github,soc,ai,dns,iac"
27,Data & AI,Data Scientist (Commercial),Amgen Inc,Hyderabad,3-5 Yrs,Not Disclosed,"python,jupyter notebook,sql,data bricks,data science,natural language processing,pharma analytics,predictive"
28,Data & AI,Data Scientist (US Value & Access Insights),Amgen Inc,Hyderabad,3-6 Yrs,Not Disclosed,"data scientist,kubernetes,python,forecasting,data mining,predictive analytics,airflow,ai"
29,Data & AI,Data Scientist (Commercial),Amgen Inc,Hyderabad,3-5 Yrs,Not Disclosed,"data scientist,python,biotechnology,metric tracking,pharma analytics,version control,databricks,sql"
30,Data & AI,Data Scientist,Themathcompany,Hybrid - Bengaluru,4-9 Yrs,Not Disclosed,"Data Science,Predictive Modeling,Artificial Intelligence,Statistical Modeling,Python,Natural Language Processing,LLM,Data Analytics"
31,Data & AI,Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,"python,scikit-learn,tensorflow,pytorch,ml,algorithms,data analysis,data analytics"
32,Data & AI,Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,"python,sas,sql,tableau,statistical modeling,advanced analytics,natural language processing,machine learning"
33,Data & AI,Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,"Data Science,python,data analytics,data analysis,forecasting,predictive analytics,ai,databricks"
34,Data & AI,Data Scientist,Amgen Inc,Hyderabad,2-4 Yrs,Not Disclosed,"python,natural language processing,ml algorithms,data science,ml,continuous integration,rest,algorithms"
35,Data & AI,Data Scientist,Apidel Technologies,Hyderabad,2-7 Yrs,Not Disclosed,"Aiml,Python,SQL,NLP,Data Scientist,Natural language processing,Data"
36,Data & AI,Data Scientist-Artificial Intelligence,IBM,Hyderabad,5-7 Yrs,Not Disclosed,"data scientist,kubernetes,python,github,natural language processing,ai,react,bootstrap"
37,Data & AI,Data Scientist,Apidel Technologies,Hyderabad,5-10 Yrs,Not Disclosed,"MATLAB,Python,SQL,SAS,Natural Language Processing,Machine Learning,Data,Processing"
38,Data & AI,Data Scientist,Tata Consultancy Services,Bengaluru,5-10 Yrs,Not Disclosed,"Generative AI,Machine learning,Pandas,Scikit-learn,Python,NumPy,TensorFlow,Machine"
39,Data & AI,Data Scientist-Artificial Intelligence,IBM,Bengaluru,8-10 Yrs,Not Disclosed,"data scientist,kubernetes,python,github,natural language processing,ai,react,bootstrap"
40,Data & AI,Data Scientist,AVENIRDIGITAL SOLUTIONS PRIVATE LIMITED,Hyderabad,5-10 Yrs,Not Disclosed,"data scientist,mlops,python,data analysis,ai,llm,machine learning,artificial intelligence"
41,Data & AI,AI/Machine Learning Engineer,Apple,Bengaluru,4-9 Yrs,Not Disclosed,"Training,analytics reporting,deep learning,Retail,data services,data science,Machine learning,Infrastructure"
42,Data & AI,Staff Machine Learning Engineer,Cisco,Hyderabad,6-11 Yrs,Not Disclosed,"System architecture,Backend,GIT,orchestration,data science,GCP,Machine learning,Manager Technology"
43,Data & AI,Machine Learning Engineer II,General Mills,"Hybrid - Mumbai(Powai), Pune",6-9 Yrs,Not Disclosed,"MLOps,Machine Learning,GCP,Python,SQL,Machine"
44,Data & AI,"Machine Learning Engineer, Apple Intelligence",Apple,Bengaluru,4-12 Yrs,Not Disclosed,"Training,Product engineering,Focus,Machine learning,Architectural design,Programming,Deployment,Natural language processing"
45,Data & AI,Data Scientist/ Machine Learning Engineer,Hitachi Energy,Bengaluru,5-8 Yrs,Not Disclosed,"Usage,Neural networks,Focus,Machine learning,Programming,Transformers,Natural language processing,data privacy"
46,Data & AI,Machine Learning Physical Design Engineer,Google,Bengaluru,4-9 Yrs,Not Disclosed,"Logistic regression,Chip design,Neural networks,Artificial Intelligence,CAD,Machine learning,Physical verification,Data structures"
47,Data & AI,Machine Learning Engineer/Data Scientist,Innowise,Pune,2-7 Yrs,Not Disclosed,"Data analysis,Process optimization,Artificial Intelligence,Project management,Machine learning,Data mining,Business case,digital transformation"
48,Data & AI,Machine Learning Engineer,Luxoft,Hybrid - Hyderabad,5-10 Yrs,Not Disclosed,"Tensorflow,Pytorch,Artificial Intelligence,Machine Learning,Python,Intelligence,Machine"
49,Data & AI,Data Scientist/ Machine Learning Engineer,Hitachi Vantara,Bengaluru,5-8 Yrs,Not Disclosed,"Data Scientist,Ml Engineer,Tensorflow,Machine Learning Frameworks,Natural Language Processing,Ai,Neural Networks,Regression"
50,Data & AI,Machine Learning Engineer,eLabs Infotech,"Hybrid - Chennai, Bengaluru, Delhi / NCR",8-13 Yrs,25-37.5 Lacs PA,"Pytorch,Huggingface,AI,Machine Learning,ML,Tensorflow,ML Engineer,Artificial Intelligence"
51,Data & AI,"Machine Learning Engineer,AIML Engineer,Data Scientist,MI Engineer",Burgeon IT Services,"Hybrid - Hyderabad, Chennai, Bengaluru",7-12 Yrs,13-23 Lacs PA,"LLMs,Machine Learning,Deep Learning,Large Language Model,Python,Tensorflow,Pyspark,Cnn"
52,Data & AI,Machine Learning Engineer,Wipro,Hybrid - Bengaluru,6-10 Yrs,15-30 Lacs PA,"Agentic Ai,GCP,Machine Learning,Python,Artificial Intelligence,Machine"
53,Data & AI,Urgent Hiring For Machine Learning Engineer MLOps-Azure,Pracyva Consulting Services,Hybrid - Bengaluru,5-10 Yrs,15-22.5 Lacs PA,"AZURE,M LOPS,MLOpsAzure,Machine Learning,Python,Data Science,Artificial Intelligence,Deep Learning"
54,Data & AI,Machine Learning Engineer,Evoke HR Solution,"Hybrid - Noida, Pune, Bengaluru",7-12 Yrs,15-30 Lacs PA,"Machine Learning,gen ai,AWS,mlops,Artificial Intelligence,Natural Language Processing,Al,Deep Learning"
55,Data & AI,Machine Learning Engineer,Wabtec,Bengaluru,2-7 Yrs,Not Disclosed,"llm,python,github,data analysis,natural language processing,freight,ai,machine learning"
56,Data & AI,Engineer - C++/Staff-AI and Machine Learning with embedded,Qualcomm,Hyderabad,9-14 Yrs,Not Disclosed,"machine learning,python,c,software development,ai,llm,java,data science"
57,Data & AI,"Principal Machine Learning Engineer, Document AI Data",Abbyy,Bengaluru,10-15 Yrs,Not Disclosed,"Training,Automation,Diversity and Inclusion,Machine learning,Technical leadership,Wellness,Technical Lead,Data quality"
58,Data & AI,Machine Learning Engineer,Egen,Hyderabad,5-10 Yrs,Not Disclosed,"ml engineer,Tensorflow,Azure,Artificial Intelligence,Natural Language Processing,Ai,Llm,Machine Learning"
59,Data & AI,Machine Learning Engineer,Xebia It Architects,Hybrid - Bengaluru,7-12 Yrs,Not Disclosed,"Statistical Modeling,MLOPS,Logistic Regression,Artificial Intelligence,Model Building,Machine Learning Algorithms,Machine Learning,Feature engineering"
60,Data & AI,Principal Machine Learning Engineer,Amgen Inc,Hyderabad,12-17 Yrs,Not Disclosed,"machine learning,technical lead,mlops,emerging technologies,python,github,technical leadership,ai"
61,Data & AI,AI/Machine Learning Engineer,Apple,Bengaluru,4-9 Yrs,Not Disclosed,"Training,analytics reporting,deep learning,Retail,data services,data science,Machine learning,Infrastructure"
62,Data & AI,Staff Machine Learning Engineer,Cisco,Hyderabad,6-11 Yrs,Not Disclosed,"System architecture,Backend,GIT,orchestration,data science,GCP,Machine learning,Manager Technology"
63,Data & AI,Machine Learning Engineer II,General Mills,"Hybrid - Mumbai(Powai), Pune",6-9 Yrs,Not Disclosed,"MLOps,Machine Learning,GCP,Python,SQL,Machine"
64,Data & AI,"Machine Learning Engineer, Apple Intelligence",Apple,Bengaluru,4-12 Yrs,Not Disclosed,"Training,Product engineering,Focus,Machine learning,Architectural design,Programming,Deployment,Natural language processing"
65,Data & AI,Data Scientist/ Machine Learning Engineer,Hitachi Energy,Bengaluru,5-8 Yrs,Not Disclosed,"Usage,Neural networks,Focus,Machine learning,Programming,Transformers,Natural language processing,data privacy"
66,Data & AI,Machine Learning Physical Design Engineer,Google,Bengaluru,4-9 Yrs,Not Disclosed,"Logistic regression,Chip design,Neural networks,Artificial Intelligence,CAD,Machine learning,Physical verification,Data structures"
67,Data & AI,Machine Learning Engineer/Data Scientist,Innowise,Pune,2-7 Yrs,Not Disclosed,"Data analysis,Process optimization,Artificial Intelligence,Project management,Machine learning,Data mining,Business case,digital transformation"
68,Data & AI,Machine Learning Engineer,Luxoft,Hybrid - Hyderabad,5-10 Yrs,Not Disclosed,"Tensorflow,Pytorch,Artificial Intelligence,Machine Learning,Python,Intelligence,Machine"
69,Data & AI,Data Scientist/ Machine Learning Engineer,Hitachi Vantara,Bengaluru,5-8 Yrs,Not Disclosed,"Data Scientist,Ml Engineer,Tensorflow,Machine Learning Frameworks,Natural Language Processing,Ai,Neural Networks,Regression"
70,Data & AI,Machine Learning Engineer,eLabs Infotech,"Hybrid - Chennai, Bengaluru, Delhi / NCR",8-13 Yrs,25-37.5 Lacs PA,"Pytorch,Huggingface,AI,Machine Learning,ML,Tensorflow,ML Engineer,Artificial Intelligence"
71,Data & AI,"Machine Learning Engineer,AIML Engineer,Data Scientist,MI Engineer",Burgeon IT Services,"Hybrid - Hyderabad, Chennai, Bengaluru",7-12 Yrs,13-23 Lacs PA,"LLMs,Machine Learning,Deep Learning,Large Language Model,Python,Tensorflow,Pyspark,Cnn"
72,Data & AI,Machine Learning Engineer,Wipro,Hybrid - Bengaluru,6-10 Yrs,15-30 Lacs PA,"Agentic Ai,GCP,Machine Learning,Python,Artificial Intelligence,Machine"
73,Data & AI,Urgent Hiring For Machine Learning Engineer MLOps-Azure,Pracyva Consulting Services,Hybrid - Bengaluru,5-10 Yrs,15-22.5 Lacs PA,"AZURE,M LOPS,MLOpsAzure,Machine Learning,Python,Data Science,Artificial Intelligence,Deep Learning"
74,Data & AI,Machine Learning Engineer,Evoke HR Solution,"Hybrid - Noida, Pune, Bengaluru",7-12 Yrs,15-30 Lacs PA,"Machine Learning,gen ai,AWS,mlops,Artificial Intelligence,Natural Language Processing,Al,Deep Learning"
75,Data & AI,Machine Learning Engineer,Wabtec,Bengaluru,2-7 Yrs,Not Disclosed,"llm,python,github,data analysis,natural language processing,freight,ai,machine learning"
76,Data & AI,Engineer - C++/Staff-AI and Machine Learning with embedded,Qualcomm,Hyderabad,9-14 Yrs,Not Disclosed,"machine learning,python,c,software development,ai,llm,java,data science"
77,Data & AI,"Principal Machine Learning Engineer, Document AI Data",Abbyy,Bengaluru,10-15 Yrs,Not Disclosed,"Training,Automation,Diversity and Inclusion,Machine learning,Technical leadership,Wellness,Technical Lead,Data quality"
78,Data & AI,Machine Learning Engineer,Egen,Hyderabad,5-10 Yrs,Not Disclosed,"ml engineer,Tensorflow,Azure,Artificial Intelligence,Natural Language Processing,Ai,Llm,Machine Learning"
79,Data & AI,Machine Learning Engineer,Xebia It Architects,Hybrid - Bengaluru,7-12 Yrs,Not Disclosed,"Statistical Modeling,MLOPS,Logistic Regression,Artificial Intelligence,Model Building,Machine Learning Algorithms,Machine Learning,Feature engineering"
80,Data & AI,Principal Machine Learning Engineer,Amgen Inc,Hyderabad,12-17 Yrs,Not Disclosed,"machine learning,technical lead,mlops,emerging technologies,python,github,technical leadership,ai"
81,Data & AI,Job openings For Applied Machine Learning Engineer,Growthaxl Technologies,Hyderabad,8-13 Yrs,Not Disclosed,"Machine Learning,Predictive Analytics,Artificial Intelligence,Machine,Application,Predictive,Intelligence,Analytics"
82,Data & AI,Associate Machine Learning Engineer,Amgen Inc,Hyderabad,2-6 Yrs,Not Disclosed,"Machine Learning,Automation,Process Automation,Compliance,Architecture,Software Architecture,Feature Engineering,Customer Feedback"
83,Data & AI,Machine Learning Engineer,TAC Security,Mumbai,2-7 Yrs,Not Disclosed,"SAN,deep learning,Artificial Intelligence,MySQL,Machine learning,Data analytics,data visualization,Vulnerability management"
84,Data & AI,Machine Learning Engineer - Agentic AI,India Health Link,Hyderabad,2-6 Yrs,Not Disclosed,"deep learning frameworks,algorithms,python,c++,solution development,problem solving,data pipeline,machine learning"
85,Data & AI,Applied AI - Machine Learning Engineer,Amgen Inc,Hyderabad,5-9 Yrs,Not Disclosed,"Machine Learning,Tensorflow,Biotechnology,Automation,Compliance,Architecture,Use Cases,Feature Engineering"
86,Data & AI,Machine Learning Engineer,Emperen Technologies,Hyderabad,5-10 Yrs,Not Disclosed,"machine learning,kubernetes,python,airflow,ai,numpy,docker,reinforcement learning"
87,Data & AI,Machine Learning Engineer,Emperen Technologies,Bengaluru,5-10 Yrs,Not Disclosed,"machine learning,kubernetes,python,airflow,ai,numpy,docker,reinforcement learning"
88,Data & AI,Machine Learning Engineer,eLabs Infotech,"Kolkata, Ahmedabad, Bengaluru",8-13 Yrs,Not Disclosed,"LLM,Machine Learning,Python,Artificial Intelligence,Machine Learning Algorithms,Ml Deployment,Ml Pipelines,Deep Learning"
89,Data & AI,Machine Learning Engineer (MLOps),Aliqan Services,"Hyderabad, Chennai, Bengaluru",8-13 Yrs,5-15 Lacs PA,"ML Engineer,MLOps,AI/ML,Azure Ai,Azure Machine Learning,AKS,LLM,Data Bricks"
90,Data & AI,Machine Learning Engineer,Kapture Crm,Bengaluru,1-3 Yrs,Not Disclosed,"algorithms,python,c++,software design,engineering,data pipeline,machine learning,artificial intelligence"
91,Data & AI,Machine Learning Engineer (ML / DL / GenAI),CapeStart,"Nagercoil, Chennai",1-5 Yrs,Not Disclosed,"continuous integration,algorithms,numpy,artificial intelligence,sql,deep learning,tensorflow,gcp"
92,Data & AI,Artificial Intelligence & Machine Learning Engineer,Clicflyer,Gurugram,3-7 Yrs,Not Disclosed,"Artificial Intelligence,Business Intelligence,OpenCV,Django,Computer Vision,Machine Learning,Deep Learning,Numpy"
93,Data & AI,"Engineer Lead, Artificial Intelligence / Machine Learning",FIS,Pune,10-15 Yrs,Not Disclosed,"data scientist,python,forecasting,ai,numpy,machine learning,artificial intelligence,nosql"
94,Data & AI,Machine Learning Engineer,YO It Consulting,Noida,4-6 Yrs,Not Disclosed,"machine learning,time series analysis,python,natural language processing,neural networks,databricks,numpy,artificial intelligence"
